scenario,t,incident,mean_violation,mean_eps,polarization_ideology,polarization_affective,mean_A,mean_B,std_all
privacy_first,0,1.0,0.0,0.49496452632930943,0.7038244070580578,0.008447302714515525,-0.17701587670485994,0.25693800365215497,0.26987052670104295
privacy_first,1,0.0,0.0,0.5023151027415399,0.5107806130178393,0.015826141926484454,-0.07594309234894002,0.23168451733670575,0.20315300333219352
privacy_first,2,0.0,0.0,0.4905552299102141,0.3360612676988556,0.02230883733884034,0.016984825322993117,0.20799012773698544,0.14505596528486325
privacy_first,3,0.0,0.0,0.4773432998156674,0.21852755127197904,0.02791613044566513,0.0917549950244295,0.20344524112275472,0.10683730517365383
privacy_first,4,0.0,0.0,0.46523354319887644,0.15375546183196143,0.0334098108883063,0.14641172804885574,0.2128975225027566,0.08726966737806058
privacy_first,5,0.0,0.0,0.45280565872528034,0.11955233264736964,0.038858595120989506,0.1879144881289954,0.22865052092586005,0.07881629985050498
privacy_first,6,0.0,0.0,0.4401003597790556,0.10352620521489046,0.04413467098348017,0.22144399660030237,0.24921646079972842,0.07575374101546441
privacy_first,7,0.0,0.0,0.42826236216928876,0.095375072457413,0.04941342747005879,0.2481697319120973,0.26871981696648883,0.07482498740302146
privacy_first,8,0.0,0.0,0.4159619017291463,0.08929521960645415,0.05484938867386881,0.27086210292561225,0.2861823685077181,0.07397495402434828
privacy_first,9,0.0,0.0,0.4052124905772738,0.08672766947833187,0.06014592771511668,0.28962322758361836,0.3027182871177034,0.07363260994424685
privacy_first,10,0.0,0.0,0.3954549106420651,0.08482306752177442,0.06517691990600806,0.30291936796610847,0.3152281701418624,0.0725142653460205
privacy_first,11,0.0,0.0,0.3862894519094544,0.08400181544244871,0.07022216858937501,0.31538957370421294,0.3276436316341845,0.07174775751247718
privacy_first,12,0.0,0.0,0.3803950872033251,0.08365733048562382,0.07532840183140255,0.324885324530795,0.3373612712803549,0.07118138373606389
privacy_first,13,1.0,0.0,0.43268808819583493,0.08315978088750467,0.08071549157568818,0.3501363445564081,0.36250907264889615,0.0707870527950166
privacy_first,14,0.0,0.0,0.4399986824401205,0.08219480146407862,0.08580998870605969,0.37783204902946604,0.3900529555260971,0.06997389496744758
privacy_first,15,0.0,0.0,0.4275711062453132,0.08117638690576191,0.09098052884523897,0.40114927952047896,0.4133015869616635,0.06902407946457735
privacy_first,16,0.0,0.0,0.41524649985805073,0.08018204040181502,0.09608515849818905,0.4210846192506039,0.4336497279606458,0.06761693169177312
privacy_first,17,0.0,0.0,0.4036299493467062,0.07817728841425407,0.10142739505765266,0.43796829834402395,0.4489766218898546,0.06716896486842343
privacy_first,18,0.0,0.0,0.3909133861027264,0.07501420769902403,0.10660442045770802,0.4512896125614585,0.4603899222122636,0.06591389804821893
privacy_first,19,0.0,0.0,0.37995012692967445,0.07477288139922039,0.11164940189500083,0.46031782171559327,0.4694943378351565,0.06559636527965718
privacy_first,20,0.0,0.0,0.3754018713194867,0.07376362556000758,0.11703226854076383,0.46974248613244796,0.4780280226985509,0.06547808899390466
privacy_first,21,1.0,0.0,0.42733615395232,0.07600039945111856,0.12211463662909906,0.49335176715389584,0.5039182233445986,0.06543394326041582
privacy_first,22,0.0,0.0,0.43447661315519337,0.07170653784577254,0.12746124989479804,0.520170877986614,0.5277107801847443,0.06416663564764226
privacy_first,23,0.0,0.0,0.42299542375094845,0.06926148931315065,0.13262689776027348,0.5425177024320285,0.5494965985767744,0.062282593168404767
privacy_first,24,0.0,0.0,0.41006116188870084,0.06580046943233159,0.1380442849695967,0.5612976772538346,0.5678117695848489,0.059286377101317296
privacy_first,25,0.0,0.0,0.3977434628881427,0.06459861642097768,0.14332604157180173,0.5767367148838952,0.5835284335097414,0.057806897795131526
privacy_first,26,1.0,0.0,0.45041675691411437,0.06600643969294573,0.14877481977551282,0.6063004109054909,0.6137297449966571,0.058577105601779526
privacy_first,27,0.0,0.0,0.458107279465241,0.06727528111250988,0.15400155416799377,0.6374885496762979,0.6467264972382503,0.058037333550557485
